Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
Chemours Outfall 002,11/16/21,PFOS,14,14,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/16/21,PFOA,9.7,9.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/19/21,GenX,100,100,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/19/21,PFOS,8,8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/19/21,PFOA,9.2,9.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/24/21,GenX,120,120,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/24/21,PFOS,8.1,8.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/24/21,PFOA,9.8,9.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/29/21,GenX,83,83,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/29/21,PFOS,7.8,7.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/29/21,PFOA,8.7,8.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/3/21,GenX,94,94,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/3/21,PFOS,9.2,9.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/3/21,PFOA,10,10,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/10/21,GenX,470,470,ng/L,,Y,10,-8775048.738,4141978.055
Chemours Outfall 002,12/10/21,PFOS,7.5,7.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/10/21,PFOA,8.5,8.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/14/21,GenX,120,120,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/14/21,PFOS,8.9,8.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/14/21,PFOA,7.4,7.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/17/21,GenX,88,88,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/17/21,PFOS,8.9,8.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/17/21,PFOA,6.4,6.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/21/21,GenX,98,98,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/21/21,PFOS,8,8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/21/21,PFOA,7.7,7.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/28/21,GenX,210,210,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/28/21,PFOS,8.3,8.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/28/21,PFOA,6.3,6.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/30/21,GenX,32,32,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/30/21,PFOS,6.6,6.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,12/30/21,PFOA,4.6,4.6,ng/L,,Y,2,-8775048.738,4141978.055
